Title,Year,Journal,Volume,Issue,Pages,Authors,Publisher,Abstract
Robotic technology for teaching adolescents with autism spectrum disorder: A feasibility study,2012,i-CREATe 2012 - 6th International Convention on Rehabilitation Engineering and Assistive Technology,,,,"Jordan, K. and King, M. and Hellersteth, S. and Wirén, A. and Mulligan, H.",,"The use of interactive robotic technology in promoting attention, communication and social skills for adolescents with Autism Spectrum Disorder (ASD) was investigated. Attention, social skills and communication were measured while participants played a memory card matching game in 3 modes: robot mode, Smart Board mode and playing cards mode. We recruited 3 participants with ASD and 3 with other cognitive impairments from a secondary school with a special needs unit. In separate sessions for each game mode, participants played in pairs for about 15 minutes, with a game organizer present. We developed 16 subcategories of Interactions and Intra-actions describing social actions. Two of the 3 participants with ASD demonstrated reduced repetitive behavior when using both the robot and the Smart Board. Conclusion: robot technology shows potential for assisting teaching of social skills to adolescents with ASD, but the robot features should be utilized rather than using it as an animated computer."
Brief Report: A Pilot Summer Robotics Camp to Reduce Social Anxiety and Improve Social/Vocational Skills in Adolescents with ASD,2015,Journal of Autism and Developmental Disorders,45,12,3862-3869,"Kaboski, J.R. and Diehl, J.J. and Beriont, J. and Crowell, C.R. and Villano, M. and Wier, K. and Tang, K.",,"This pilot study evaluated a novel intervention designed to reduce social anxiety and improve social/vocational skills for adolescents with autism spectrum disorder (ASD). The intervention utilized a shared interest in robotics among participants to facilitate natural social interaction between individuals with ASD and typically developing (TD) peers. Eight individuals with ASD and eight TD peers ages 12–17 participated in a weeklong robotics camp, during which they learned robotic facts, actively programmed an interactive robot, and learned “career” skills. The ASD group showed a significant decrease in social anxiety and both groups showed an increase in robotics knowledge, although neither group showed a significant increase in social skills. These initial findings suggest that this approach is promising and warrants further study. © 2014, Springer Science+Business Media New York."
Multi-robot engagement in special education: A preliminary study in autism,2018,"2018 IEEE International Conference on Consumer Electronics, ICCE 2018",2018,,01-Feb,"Kaburlasos, V.G. and Dardani, C. and Dimitrova, M. and Amanatiadis, A.",,"An engagement of humanoid social robots in special education may raise ethics questions. Hence, the development of useful therapeutic treatments may be hindered. To circumvent the latter, we propose training a humanoid robot R1 toward simulating the behavior of a child. Then, use another humanoid robot R2 to operate on robot R1 toward developing an effective treatment in special education without raising ethics questions. Experiments here consider children with autism. Preliminary application results have been encouraging. This work also suggests a novel social robot modeling based on gestalt representations. © 2018 IEEE."
Robot-assisted training of joint attention skills in children diagnosed with Autism,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9388,,296-305,"Kajopoulos, J. and Wong, A.H.Y. and Yuen, A.W.C. and Dung, T.A. and Kee, T.Y. and Wykowska, A.",,"Due to technological and scientific advances, a new approach to autism therapy has emerged, namely robot-assisted therapy. However, as of now, no systematic studies have examined the specific cognitive mechanisms that are affected by robot-assisted training. This study used knowledge and methodology of experimental psychology to design a training protocol involving a pet robot CuDDler (A*STAR Singapore), which targeted at the specific cognitive mechanism of responding to joint attention (RJA). The training protocol used a modified attention cueing paradigm, where head direction of the robot cued children’s spatial attention to a stimulus presented on one of the sides of the robot. The children were engaged in a game that could be completed only through following the head direction of the robot. Over several weeks of training, children learned to follow the head movement of the robot and thus trained their RJA skills. Results showed improvement in RJA skills post training, relative to a pre-training test. Importantly, the RJA skills were transferred from interaction with the robot to interaction with the human experimenter. This shows that with the use of objective measures and protocols grounded in methods of experimental psychology, it is possible to design efficient training of specific social cognitive mechanisms, which are the basis for more complex social skills. © Springer International Publishing Switzerland 2015."
Using the humanoid robot Kaspar in a Greek school environment to support children with Autism Spectrum Condition,2019,Paladyn,10,1,298-317,"Karakosta, E. and Dautenhahn, K. and Syrdal, D.S. and Wood, L.J. and Robins, B.",,"Previous studies conducted with the humanoid robot Kaspar in the UK have yielded many encouraging results. This paper examines the influence of conducting play sessions with Kaspar on the social and communication skills of children diagnosed with Autism Spectrum Condition (ASC) and suggests possible ways for using the robot as a (therapeutic) tool in a Greek school for children with special needs. Over a period of 10 weeks 7 children took part in a total of 111 individual play sessions with the Kaspar robot. Each child participated in between 12 and 18 sessions with the robot. The results from this study indicate that the play sessions with Kaspar appear to have positively influenced the behaviours of some of the children in specific domains such as communication and interaction, prompted speech, unprompted imitation and focus/attention. Furthermore, the children's teachers expressed positive views regarding the impact of the play sessions on the children and offered interesting suggestions about the ways in which the robot could potentially be used in everyday teaching tasks and were eager to obtain a Kaspar for their classroom activities. © 2019 Efstathia Karakosta et al., published by De Gruyter 2019."
NAO AS AN ASSISTANT IN ASD THERAPY SESSIONS: THE CASE OF JOE,2015,"INTED2015: 9TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT        CONFERENCE",,,6990-6997,"Kartapanis, I and Ioannou, A and Zaphiris, P and Kartapanis, I. and Ioannou, A. and Zaphiris, P.",IATED-INT ASSOC TECHNOLOGY EDUCATION & DEVELOPMENT,"This study aimed to explore the potential value of a humanoid robo -- NAO -- in assisting the therapist during therapy sessions with children in the autism spectrum. We report findings from a single case a 10-year old, boy, Joe, diagnosed with (high functioning) ASD. The intervention was conducted during four consecutive therapy sessions with Joe. The interaction with NAO lasted 20 minutes per session, during which Joe played the ""Animals Game"" with NAO and the therapist. In this game NAO asked the child to find a specific animal from a deck of cards and present it for feedback. A notable progress was demonstrated by Joe across sessions in terms of learning the animals in English, becoming more independent, initiating interaction with the robot, directing his gaze, and expressing affective feelings. Based on detailed video data analysis the study showed that NAO and the ""Animals Game"" helped Joe elicit desirable social behaviors beyond what was typically observed in his previous therapy sessions."
A Framework for Robot Learning during Child-Robot Interaction with Human Engagement as Reward Signal,2018,RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication,,,461-464,"Khamassi, M. and Chalvatzaki, G. and Tsitsimis, T. and Velentzas, G. and Tzafestas, C.",,"Using robots as therapeutic or educational tools for children with autism requires robots to be able to adapt their behavior specifically for each child with whom they interact. In particular, some children may like to be looked into the eyes by the robot while some may not. Some may like a robot with an extroverted behavior while others may prefer a more introverted behavior. Here we present an algorithm to adapt the robot's expressivity parameters of action (mutual gaze duration, hand movement expressivity) in an online manner during the interaction. The reward signal used for learning is based on an estimation of the child's mutual engagement with the robot, measured through non-verbal cues such as the child's gaze and distance from the robot. We first present a pilot joint attention task where children with autism interact with a robot whose level of expressivity is pre-determined to progressively increase, and show results suggesting the need for online adaptation of expressivity. We then present the proposed learning algorithm and some promising simulations in the same task. Altogether, these results suggest a way to enable robot learning based on non-verbal cues and to cope with the high degree of nonstationarities that can occur during interaction with children. © 2018 IEEE."
Socially assistive robot enabled home-based care for supporting people with autism,2015,"Pacific Asia Conference on Information Systems, PACIS 2015 - Proceedings",,,,"Khosla, R. and Nguyen, K. and Chu, M.-T.",,"The growing number of people diagnosed with Autism Spectrum Disorder (ASD) is an issue of concern in Australia and many countries. In order to improve the engagement, reciprocity, productivity and usefulness of people with ASD in a home-based environment, in this paper the authors report on a 9 month Australian home-based care trial of socially assistive robot (Lucy) to support two young adults with autism. This work demonstrates that by marrying personhood (of people with ASD) with human-like communication modalities of Lucy potentially positive outcomes can be achieved in terms of engagement, productivity and usefulness as well as reciprocity of the people with ASD. Lucy also provide respite to their carers (e.g., parents) in their day to day living."
Service personalisation of assistive robot for autism care,2015,IECON 2015 - 41st Annual Conference of the IEEE Industrial Electronics Society,,,2088-2093,"Khosla, R. and Nguyen, K. and Chu, M.-T.",,"This paper demonstrates an innovative application in the context of autism using a Humanoid robot. A nine-month long home-based care trial with 191 hours of interaction is conducted to investigate the engagement with two young people with autism through adaptation on service design (e.g., change from narrative voice to more interactive story telling using emotion expressions, sounds effects and background music) and service personalization (service novelty). It involves big data collected to learn the participants' preferences and activity patterns. The experimental evidence on how to improve the long-term benefits of use of social robots is reported. The research establishes that in home-based care a Humanoid robot can maintain their engagement with young people with autism through service personalization over long periods of time. © 2015 IEEE."
Embodying personhood to enhance emotional engagement and reciprocity between assistive robot and people with Autism,2014,"20th Americas Conference on Information Systems, AMCIS 2014",,,,"Khosla, R. and Nguyen, K. and Chu, M.-T.",,"The growing number of people diagnosed with Autism Spectrum Disorder (ASD) is an issue of concern in Australia and many countries. In order to improve the engagement, reciprocity, productivity and usefulness of people with ASD in a home-based environment, in this paper the authors report on design and field trial of person-centred and life-style centred services of people with ASD embodied in an assistive social robot (Matilda) in Australian home-based care environment. This work demonstrates that by marrying personhood (of people with ASD) with human-like communication modalities of Matilda like voice, emotive expressions, gestures, head and body movement, singing and dancing a positive outcome is achieved in terms of emotional engagement of the person with ASD, developing a reciprocal relationship between Matilda and the person with ASD and making them more productive and useful. It also provides respite to their carers (e.g., parents) in their day to day living."
Social robots as embedded reinforcers of social behavior in children with autism,2013,Journal of Autism and Developmental Disorders,43,5,1038-1049,"Kim, E.S. and Berkovits, L.D. and Bernier, E.P. and Leyzberg, D. and Shic, F. and Paul, R. and Scassellati, B.",,"In this study we examined the social behaviors of 4- to 12-year-old children with autism spectrum disorders (ASD; N = 24) during three tradic interactions with an adult confederate and an interaction partner, where the interaction partner varied randomly among (1) another adult human, (2) a touchscreen computer game, and (3) a social dinosaur robot. Children spoke more in general, and directed more speech to the adult confederate, when the interaction partner was a robot, as compared to a human or computer game interaction partner. Children spoke as much to the robot as to the adult interaction partner. This study provides the largest demonstration of social human-robot interaction in children with autism to date. Our findings suggest that social robots may be developed into useful tools for social skills and communication therapies, specifically by embedding social interaction into intrinsic reinforcers and motivators. © 2012 Springer Science+Business Media, LLC."
Potential clinical impact of positive affect in robot interactions for autism intervention,2015,"2015 International Conference on Affective Computing and Intelligent Interaction, ACII 2015",,,Aug-13,"Kim, E.S. and Daniell, C.M. and Makar, C. and Elia, J. and Scassellati, B. and Shic, F.",,"While interactive technologies frequently are designed to be enjoyable, there are particular reasons to prioritize this for technologies intended to support autism interventions. Most broadly, enjoyment of activities or materials used in interventions has been associated with heightened improvements in the behaviors targeted by the interventions. In the largest group study to date of school-aged children with high-functioning autism (N=24), we present evidence of more positive affect elicited with a robot than with an adult, during matched triadic interactions designed to facilitate social and conversational interaction with a clinician. Robot-mediated increases in positive affect were found to be associated with production of spoken language directed to the clinician during robot interaction. We further found that robot-mediated increases in positive affect were associated with greater autism severity, particularly in the social affect domain, and with lower nonverbal IQ. Our findings suggest that robots may have a unique advantage in interventions for children with autism spectrum disorders by eliciting more positive affect, and that we should explore robot support for interventions with lower-functioning, affected individuals. © 2015 IEEE."
Rapid prototyping framework for robot-assisted training of autistic children,2014,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,2014,,353-358,"Kim, M.-G. and Barakova, E. and Lourens, T.",,"Research in uptake and actual use of robots in socially assistive tasks is rapidly growing. However, practical applications lack behind due to the enormous effort to create meaningful behaviours. This paper describes a rapid prototyping framework for robot-assisted training of children with Autism Spectrum Disorder (ASD). The main goal of this research is to provide a framework which translates the knowledge from the evidenced Pivotal Response Training to end-user tools, that allow therapists to program/adapt a training program mediated by a robot in order to use it in therapies. The overall structure of the intervention is based on Activity Theory which makes it easy to properly arrange robot actions and decisions. We appended a general end-user robot programming tool with PRT therapy-specific training structures which can be adapted with ease to create almost limitless learning opportunities utilizing a range of training scenarios or games. Pilot tests with children with ASD were performed to assess whether the robot assisted intervention created by this framework is ready for practical use. These showed that only minor adaptations were needed to increase the fluency of the robot-child interaction. © 2014 IEEE."
Smiles as a Signal of Prosocial Behaviors Toward the Robot in the Therapeutic Setting for Children With Autism Spectrum Disorder,2021,Frontiers in Robotics and AI,8,,,"Kim, S. and Hirokawa, M. and Matsuda, S. and Funahashi, A. and Suzuki, K.",,"We explored how robot-assisted therapy based on smile analysis may facilitate the prosocial behaviors of children with autism spectrum disorder. Prosocial behaviors, which are actions for the benefit of others, are required to belong to society and increase the quality of life. As smiling is a candidate for predicting prosocial behaviors in robot-assisted therapy, we measured smiles by annotating behaviors that were recorded with video cameras and by classifying facial muscle activities recorded with a wearable device. While interacting with a robot, the participants experienced two situations where participants' prosocial behaviors are expected, which were supporting the robot to walk and helping the robot from falling. We first explored the overall smiles at specific timings and prosocial behaviors. Then, we explored the smiles triggered by a robot and behavior changes before engaging in prosocial behaviors. The results show that the specific timing of smiles and prosocial behaviors increased in the second session of children with autism spectrum disorder. Additionally, a smile was followed by a series of behaviors before prosocial behavior. With a proposed Bayesian model, smiling, or heading predicted prosocial behaviors with higher accuracy compared to other variables. Particularly, voluntary prosocial behaviors were observed after smiling. The findings of this exploratory study imply that smiles might be a signal of prosocial behaviors. We also suggest a probabilistic model for predicting prosocial behaviors based on smile analysis, which could be applied to personalized robot-assisted therapy by controlling a robot's movements to arouse smiles and increase the probability that a child with autism spectrum disorder will engage in prosocial behaviors. © Copyright © 2021 Kim, Hirokawa, Matsuda, Funahashi and Suzuki."
Smiles of children with ASD may facilitate helping behaviors to the robot,2018,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11357,,55-64,"Kim, S.K. and Hirokawa, M. and Matsuda, S. and Funahashi, A. and Suzuki, K.",,"Helping behaviors are one of the important prosocial behaviors in order to develop social communication skills based on empathy. In this study, we examined the potentials of using a robot as a recipient of help, and helping behaviors to a robot. Also, we explored the relationships between helping behaviors and smiles that is an indicator of a positive mood. The results of this study showed that there might be a positive correlation between the amount of helping behaviors and the number of smiles. It implies that smiles may facilitate helping behaviors to the robot. This preliminary research indicates the potentials of robot-assisted interventions to facilitate and increase helping behaviors of children with Autism Spectrum Disorder (ASD). © 2018, Springer Nature Switzerland AG."
A Feasibility Study Evaluating the Emotionally Expressive Robot SAM,2017,International Journal of Social Robotics,9,4,601-613,"Koch, S.A. and Stevens, C.E. and Clesi, C.D. and Lebersfeld, J.B. and Sellers, A.G. and McNew, M.E. and Biasini, F.J. and Amthor, F.R. and Hopkins, M.I.",,"This two-part feasibility study evaluated the functionality and acceptability of Socially Animated Machine (SAM), a humanoid robotic monkey developed to elicit social interaction in children with Autism Spectrum Disorder (ASD). Socially Animated Machine was designed with an approachable, animal-like appearance, while preserving the essential features of a human face. The intent was to design a robot that would be interesting and engaging to children with ASD, yet maintain the capability to model facial expressions that convey emotional subtlety. Study 1 evaluated the accuracy of SAM’s emotional facial expressions. Typically developing children (N= 35) labeled and matched SAM’s expressions to photos of human expressions with moderate-to-substantial levels of agreement. Study 2 compared children’s level of social engagement across an interaction with SAM and an interaction with an adult experimenter. Children with ASD (N= 13) spent significantly more time attending to the partner’s face while interacting with SAM. When asked to rate their interaction with SAM, children with ASD reported high levels of happiness and comfort and requested additional interactions. These results suggest that SAM may serve as a useful tool in interventions to improve social skills, including emotion recognition, in children with ASD. © 2017, Springer Science+Business Media B.V."
Robot-mediated interventions for teaching children with ASD: a new intraverbal skill,2021,Assistive Technology,,,,"Korneder, J. and Louie, W.-Y.G. and Pawluk, C.M. and Abbas, I. and Brys, M. and Rooney, F.",,"Socially assistive robots (SAR) have the potential to impact therapies for Autism Spectrum Disorder (ASD) by supporting clinicians in increasing learning opportunities presented to individuals. Recent research on robot-mediated intervention (RMI) delivery has predominantly addressed social deficits in ASD with positive outcomes. Current literature has minimal focus on teaching children with ASD a skill not known apriori by the individual. Furthermore, it is unclear how to integrate robots in clinical settings because current RMIs do not adhere to Applied Behavior Analysis (ABA) protocols. In this work, we investigated whether an RMI could be utilized to teach children with ASD a completely new language and communication skill they could not exhibit at baseline. We utilized a standard ABA assessment tool to first identify appropriate skills to teach children with ASD. We then developed, implemented, and evaluated an RMI intervention that followed standard clinical operating procedures in ABA and targets participants’ unique skill deficits. We examined the effects of the RMI training on teaching wh-question answering. All sessions were conducted with the SAR as the primary therapist using evidenced-based ABA human teaching protocols. All participants acquired the wh-questions answering skill within seven sessions, which is in line with their typical acquisition rates. © 2021 RESNA."
Collaborative Research Project: Developing and Testing a Robot-Assisted Intervention for Children With Autism.,2020,Frontiers in robotics and AI,7,,37,Kostrubiec V and Kruck J,,"The present work is a collaborative research aimed at testing the effectiveness of the robot-assisted intervention administered in real clinical settings by real educators. Social robots dedicated to assisting persons with autism spectrum disorder (ASD) are rarely used in clinics. In a collaborative effort to bridge the gap between innovation in research and clinical practice, a team of engineers, clinicians and researchers working in the field of psychology developed and tested a robot-assisted educational intervention for children with low-functioning ASD (N = 20) A total of 14 lessons targeting requesting and turn-taking were elaborated, based on the Pivotal Training Method and principles of Applied Analysis of Behavior. Results showed that sensory rewards provided by the robot elicited more positive reactions than verbal praises from humans. The robot was of greatest benefit to children with a low level of disability. The educators were quite enthusiastic about children's progress in learning basic psychosocial skills from interactions with the robot. The robot nonetheless failed to act as a social mediator, as more prosocial behaviors were observed in the control condition, where instead of interacting with the robot children played with a ball. We discuss how to program robots to the distinct needs of individuals with ASD, how to harness robots' likability in order to enhance social skill learning, and how to arrive at a consensus about the standards of excellence that need to be met in interdisciplinary co-creation research. Our intuition is that robotic assistance, obviously judged as to be positive by educators, may contribute to the dissemination of innovative evidence-based practice for individuals with ASD."
Social robots for children: Practice in communication-care,2006,"9TH IEEE INTERNATIONAL WORKSHOP ON ADVANCED MOTION CONTROL, VOLS 1 AND        2, PROCEEDINGS",,,768-+,"Kozima, H and Nakagawa, C and Kozima, Hideki and Nakagawa, Cocoro     GP IEEE",IEEE,"This paper describes our research project that explores possible use of interactive robots in communication-care for children, especially those with special needs. For this purpose, we built Keepon, which is a small creature-like robot, and observed how autistic and typically-developing children (24 years old) interacted with it. Keepon was placed in their playrooms just as one of their toys, and tele-controlled by a human operator in a remote room; the children naturally and spontaneously showed various communicative actions to Keepon. From the longitudinal observations for more than two years (over 100 sessions of 3 hours) in a remedial institute and a preschool, we found that Keepon's comprehensive appearance and predictable responses gave the children a playful and relaxed mood, in which they spontaneously engaged in dyadic interaction with Keepon, and also that the typically-developing children and some of the autistic children extended the interaction into triadic one, where Keepon worked as the pivot of interpersonal play with their caregivers. Each child showed a different style and a different unfolding of interaction over time, which tell us a ""story"" of his or her personality and developmental profile, which is informative for the caregiver and the nursing staff to understand the child better, and is now being utilized for improving the remedial and educational services."
Children-robot interaction: a pilot study in autism therapy,2007,FROM ACTION TO COGNITION,164,,385-400,"Kozima, H and Nakagawa, C and Yasuda, Y and Kozima, Hideki and Nakagawa, Cocoro and Yasuda, Yuriko",ELSEVIER SCIENCE BV,"We present here a pilot study of child-robot interactions, in which we discuss developmental origins of human interpersonal communication. For the past few years, we have been observing 2- to 4-year-old children with autism interacting with Keepon, a creature-like robot that is only capable of expressing its attention (directing its gaze) and emotions (pleasure and excitement). While controlled by a remote experimenter, Keepon interacted with the children with its simple appearance and actions. With a sense of curiosity and security, the children spontaneously approached Keepon and engaged in dyadic interaction with it, which then extended to triadic interactions where they exchanged with adult caregivers pleasure and surprise they found in Keepon. Qualitative and quantitative analysis of these unfolding interactions suggests that autistic children possess the motivation to share mental states with others, which is contrary to the commonly held position that this motivation is impaired in autism. We assume Keepon's minimal expressiveness helped the children understand socially meaningful information, which then activated their intact motivation to share interests and feelings with others. We conclude that simple robots like Keepon would facilitate social interaction and its development in autistic children."
"Keepon: A playful robot for research, therapy, and entertainment",2009,International Journal of Social Robotics,1,1,Mar-18,"Kozima, H. and Michalowski, M.P. and Nakagawa, C.",,"Keepon is a small creature-like robot designed for simple, natural, nonverbal interaction with children. The minimal design of Keepon's appearance and behavior is meant to intuitively and comfortably convey the robot's expressions of attention and emotion. For the past few years, we have been observing interactions between Keepon and children at various levels of physical, mental, and social development. With typically developing children, we have observed varying styles of play that suggest a progression in ontological understanding of the robot. With children suffering from developmental disorders such as autism, we have observed interactive behaviors that suggest Keepon's design is effective in eliciting a motivation to share mental states. Finally, in developing technology for interpersonal coordination and interactional synchrony, we have observed an important role of rhythm in establishing engagement between people and robots. This paper presents a comprehensive survey of work done with Keepon to date. © Springer 2008."
A humanoid in company with children,2004,2004 4th IEEE-RAS International Conference on Humanoid Robots,1,,470-477,"Kozima, H. and Nakagawa, C. and Kawai, N. and Kosugi, D. and Yano, Y.",,"We report a case study of the interaction of normal and autistic children with Infanoid, an upper-torso humanoid robot. Infanoid is capable of attentive and emotional interaction with humans through gaze, pointing, facial expressions, and so on. In the observational sessions, each of the children sat in front of Infanoid with his or her mother, gradually got into the loop of interaction spontaneously, where he or she played with the robot in a relaxed mood. We assume the relatively high predictability of Infanoid's behavior enabled the autistic child, as well as the normal children, to get into the playful interaction, from which the children could expand the horizon of social communications. This study suggests potential applicability of humanoids to remedial services as well as psychological investigation. ©2004 IEEE."
Interactive robots for communication-care: A case-study in autism therapy,2005,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,2005,,341-346,"Kozima, H. and Nakagawa, C. and Yasuda, Y.",,"The paper proposes possible use of interactive robots in the remedial practice for children with autism, who have difficulties mainly in interpersonal communication. For this purpose, we built a small creature-like robot, Keepon, which was carefully designed to get autistic and non-autistic children involved in playful interaction. We observed how autistic children (2-4 years old) interacted with Keepon without any experimental setting or instructions in a playroom at a day-care center for children with special needs. From the longitudinal observation for a year and a half (totally, over 500 child-sessions), we found that Keepon's simple appearance and predictable responses gave the autistic children a playful and relaxed mood, in which they spontaneously engaged in dyadic play with Keepon, which would then expand into interpersonal communication where Keepon worked as the pivot of triadic play with adults or other children. Each child showed a different style and a different unfolding of interaction over time, which tell us a ""story"" of his or her personality and developmental profile, which would not be explained thoroughly by a diagnostic label like ""autism"". © 2005 IEEE."
Social interaction facilitated by a minimally-designed robot: Findings from longitudinal therapeutic practices for autistic children,2007,Proceedings - IEEE International Workshop on Robot and Human Interactive Communication,,,599-604,"Kozima, H. and Yasuda, Y. and Nakagawa, C.",,"This paper reports our longitudinal observation of unconstrained child-robot interaction at a daycare center for autistic children. We used a simple robot, Keepon, that is only capable of expressing its attention (directing its gaze) and emotions (pleasure and excitement). While controlled by a remote experimenter, Keepon interacted with the children with its simple appearance and actions. With a sense of curiosity and security, the children spontaneously approached Keepon and engaged in dyadic interaction with it, which then extended to triadic interactions where they exchanged with adult caregivers pleasure and surprise found in Keepon. The three-year-long observation suggests that autistic children possess the motivation to share mental states with others, which is contrary to the commonly held position that the motivation is impaired in autism. Autistic children, however, have difficulty rather in sifting out socially meaningful information (e.g., attention and emotions) from flooding perceptual information. Keepon, with its minimal expressiveness, directly conveyed socially meaningful information to the children, which activated their intact motivation to share interests and feelings with others. We conclude that social filtering is one of the prerequisites for interpersonal communication and that robots like Keepon can facilitate social filtering and its development in autistic children. ©2007 IEEE."
A tactile robot for developmental disorder therapy,2018,ACM International Conference Proceeding Series,,,,"Krichmar, J.L. and Chou, T.-S.",,"Developmental disorders, such as Attention-Deficit- Hyperactivity Disorder (ADHD) and Autism Spectrum Disorder (ASD), have clinical symptoms of inattention, hyperactivity, and impulsivity. These symptoms are often accompanied by tactile and sensorimotor impairments. We introduce a CAretaker RoBOt (CARBO) to standardize and automate therapy for children with developmental disorders. CARBO is autonomous, mobile, selfcontained, and focuses on tactile interactions with children. By providing a surface that encourages touch and a suite of interactive games, CARBO addresses impairments in tactile sensitivity and social interaction observed in children with developmental disorders. We conducted a small feasibility study with children having different development disorders. Children found the interactions with CARBO to be engaging for, and data CARBO recorded was sensitive to different impairments. The present study shows promising results for using CARBO as an automated form of Sensory Integration Therapy (SIT) in the future. © 2018 Copyright held by the owner/author(s)."
Enhancing Communication Skills of Individuals With Autism Spectrum Disorders While Maintaining Social Distancing Using Two Tele-Operated Robots.,2020,Frontiers in psychiatry,11,,598688,Kumazaki H and Muramatsu T and Yoshikawa Y and Haraguchi H and Sono T and Matsumoto Y and Ishiguro H and Kikuchi M and Sumiyoshi T and Mimura M,,"COVID-19 has affected many areas of daily life, including communication and learning. Social distancing is essential to prevent the spread of COVID-19. In these situations, teaching communication skills is essential for helping individuals with autism spectrum disorders (ASD) reach their full potential. To provide communication education while maintaining social distancing, we developed a communication training system using a tele-operated robot. In this system, we prepared a PC and a robot for each participant. The participants were grouped in pairs and communicated with each other through the tele-operated robot. The objective of this study was to test whether this system can maintain motivation for training in individuals with ASD and whether our system was useful for improving communication skills. Participants were randomly assigned to one of two groups: the taking a class by teachers alone (TCT) group or robot-mediated communication exercise (RMC) group. Participants in the TCT group took a class about communication skills from their teacher. Participants in the RMC group, in addition to taking a class by teacher, were grouped in pairs and communicated with each other through the tele-operated robot once a week over 4 weeks (for a total of five sessions). In total, twenty individuals with ASD participated in the study. One-way ANOVA revealed that there were significantly greater improvements in being good at describing their thoughts to others, which was self-rated (F = 6.583; p = 0.019), and good at listening to the thoughts or feelings of others, which was rated by themselves (F = 5.635; p = 0.029) and their teacher (F = 5.333; p = 0.033). As expected, the motivation for training using this system was maintained during a session. Overall, this study revealed that our system was useful for improving communication skills (e.g., listening to the thoughts or feelings of others). Teaching communication skills under pandemic conditions is important, and this study demonstrated the feasibility of communication training using tele-operated robots."
Android Robot-Mediated Mock Job Interview Sessions for Young Adults with Autism Spectrum Disorder: A Pilot Study.,2017,Frontiers in psychiatry,8,,169,Kumazaki H and Warren Z and Corbett BA and Yoshikawa Y and Matsumoto Y and Higashida H and Yuhi T and Ikeda T and Ishiguro H and Kikuchi M,,"The feasibility and preliminary efficacy of an android robot-mediated mock job interview training in terms of both bolstering self-confidence and reducing biological levels of stress in comparison to a psycho-educational approach human interview was assessed in a randomized study. Young adults (ages 18-25 years) with autism spectrum disorder (ASD) were randomized to participate either in a mock job interview training with our android robot system (n = 7) or a self-paced review of materials about job-interviewing skills (n = 8). Baseline and outcome measurements of self-reported performance/efficacy and salivary cortisol were obtained after a mock job interview with a human interviewer. After training sessions, individuals with ASD participating in the android robot-mediated sessions reported marginally improved self-confidence and demonstrated significantly lower levels of salivary cortisol as compared to the control condition. These results provide preliminary support for the feasibility and efficacy of android robot-mediated learning."
Impressions of Humanness for Android Robot may Represent an Endophenotype for Autism Spectrum Disorders.,2018,Journal of autism and developmental disorders,48,2,632-634,Kumazaki H and Warren Z and Swanson A and Yoshikawa Y and Matsumoto Y and Ishiguro H and Sarkar N and Minabe Y and Kikuchi M,,"Identification of meaningful endophenotypes may be critical to unraveling the etiology and pathophysiology of autism spectrum disorders (ASD). We investigated whether impressions of ""humanness"" for android robot might represent a candidate characteristic of an ASD endophenotype. We used a female type of android robot with an appearance similar to that of a real person. Significant differences in overall impressions of 'humanness' for android robot were found between adolescents with ASD and typical development (TD) controls, as well as parents of children with ASD and parents of TD controls. Our current work does suggest robotic systems could potentially play an intelligent role in dissecting ASD heterogeneity."
Can Robotic Systems Promote Self-Disclosure in Adolescents with Autism Spectrum Disorder? A Pilot Study.,2018,Frontiers in psychiatry,9,,36,Kumazaki H and Warren Z and Swanson A and Yoshikawa Y and Matsumoto Y and Takahashi H and Sarkar N and Ishiguro H and Mimura M and Minabe Y and Kikuchi M,,"Research suggests that many individuals with autism spectrum disorder (ASD) often demonstrate challenges providing appropriate levels of information during conversational interchanges. Considering the preference of individuals with ASD, and recent rapid technological advances, robotic systems may yield promise in promoting certain aspects of conversation and interaction such as self-disclosure of appropriate personal information. In the current work, we evaluated personal disclosures of events with specific emotional content across two differing robotic systems (android and simplistic humanoid) and human interactions. Nineteen participants were enrolled in this study: 11 (2 women and 9 men) adolescents with ASD and 8 (4 women and 4 men) adolescents with TD. Each participant completed a sequence of three interactions in a random order. Results indicated differences regarding comfort level and length of disclosures between adolescents with ASD and typically developing (TD) controls in relation to system interactions. Specifically, adolescents with ASD showed a preference for interacting with the robotic systems compared to TD controls and demonstrated lengthier disclosures when interacting with the visually simple humanoid robot compared to interacting with human interviewer. The findings suggest that robotic systems may be useful in eliciting and promoting aspects of social communication such as self-disclosure for some individuals with ASD."
